category,slug,product_name,asin,amazon_url,description,tag
Smart Thermostats,smart-thermostats,Google Nest Learning Thermostat,B08HRWWCTR,https://www.amazon.com/dp/B08HRWWCTR?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Thermostats,smart-thermostats,ecobee Smart Thermostat Premium,B09XXS48P8,https://www.amazon.com/dp/B09XXS48P8?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Power Management,smart-home,Sense Home Energy Monitor,B0C79PNK84,https://www.amazon.com/dp/B0C79PNK84?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Power Management,smart-home,Emporia Vue Smart Home Energy Monitor,B0C7B1LKDW,https://www.amazon.com/dp/B0C7B1LKDW?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Power Management,smart-home,Kasa Smart Plug Mini,B091699Z3W,https://www.amazon.com/dp/B091699Z3W?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Power Management,smart-home,Smart Energy Saving Power Strip,B07G95FFN3,https://www.amazon.com/dp/B07G95FFN3?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Power Management,smart-home,Smart Electrical Panel Energy Monitor,B0D6X5GW5N,https://www.amazon.com/dp/B0D6X5GW5N?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
HVAC & Heat Pumps,heat-pumps,Smart HVAC Air Vent,B0792R5KJF,https://www.amazon.com/dp/B0792R5KJF?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
HVAC & Heat Pumps,heat-pumps,MERV 13 High Efficiency Air Filter,B01CR9K33K,https://www.amazon.com/dp/B01CR9K33K?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
HVAC & Heat Pumps,heat-pumps,Smart Temperature Room Sensor,B07NQVWRR3,https://www.amazon.com/dp/B07NQVWRR3?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
